split_a,image_a,path_a,split_b,image_b,path_b,phash_dist,dhash_dist,ssim_256,confirmed_near_duplicate,old_split_a,old_split_b,old_rel_image_a,old_rel_image_b,component_id_a,component_id_b,md5_a,md5_b,source_group_a,source_group_b,instances_a,instances_b
train,val__C-W4-V0049.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W4-V0049.jpg,test,train__C-W4-0045.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\test\train__C-W4-0045.jpg,2,2,0.938232,False,val,train,C-W4-V0049.jpg,C-W4-0045.jpg,170,2,14e54fdd019bfe3be130d01f00856d9f,24d3cd8b3e3d96cce2ee2a4fa1a3b6bf,c-w4-v0049,c-w4,104,114
train,val__C-W4-V0015.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W4-V0015.jpg,test,train__C-W4-0073.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\test\train__C-W4-0073.jpg,5,3,0.894219,False,val,train,C-W4-V0015.jpg,C-W4-0073.jpg,140,2,3f3a9e37c8da5389f82ec0e2c9197064,62c6fa289f35b68f006264a47c5ccfe6,c-w4-v0015,c-w4,278,260
train,val__C-W3-V0027.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W3-V0027.jpg,val,train__C-W3-0098.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__C-W3-0098.jpg,2,3,0.877855,False,val,train,C-W3-V0027.jpg,C-W3-0098.jpg,100,1,e55c84e0b83d280eaf4ed811eea53083,0305f114219f9ba05af49f6ad2cfc40b,c-w3-v0027,c-w3,319,299
train,val__C-W6-V0059.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W6-V0059.jpg,test,train__C-W6-0073.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\test\train__C-W6-0073.jpg,24,4,0.875889,False,val,train,C-W6-V0059.jpg,C-W6-0073.jpg,236,4,d59fbc8cbc814bc2b27344396c8df570,da07ef1d730ddc2e73d6033b84fed47f,c-w6-v0059,c-w6,9,12
train,val__C-W3-V0002.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W3-V0002.jpg,val,train__C-W3-0030.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__C-W3-0030.jpg,3,1,0.859433,False,val,train,C-W3-V0002.jpg,C-W3-0030.jpg,81,1,fbc2b6dcc329d1468eb966b09f0ddca0,98fcf4501bf4673f4ecdfa0d5cc4a468,c-w3-v0002,c-w3,255,247
train,val__P-W5-V0001.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__P-W5-V0001.jpg,val,train__P-W5-0021.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__P-W5-0021.jpg,5,5,0.816212,False,val,train,P-W5-V0001.jpg,P-W5-0021.jpg,361,10,0540917d4f47aa6d10ab50fb03668a68,ebd90feb94d027f361b44ab166af15a0,p-w5-v0001,p-w5,53,52
train,val__C-W3-V0036.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W3-V0036.jpg,val,train__C-W3-0025.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__C-W3-0025.jpg,8,0,0.728176,False,val,train,C-W3-V0036.jpg,C-W3-0025.jpg,104,1,0886a3c3432ab3edac80188650383252,c9cae818d8e6e7fc8c7a866cfe3cbea6,c-w3-v0036,c-w3,287,308
train,val__P-W5-V0015.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__P-W5-V0015.jpg,val,train__P-W5-0016.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__P-W5-0016.jpg,6,5,0.668804,False,val,train,P-W5-V0015.jpg,P-W5-0016.jpg,374,10,35ef7a7c95b1ba403f97dccd22abd3cc,a31feccf15d6f041231439f3ad67c676,p-w5-v0015,p-w5,57,56
train,val__P-W5-V0013.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__P-W5-V0013.jpg,val,train__P-W5-0003.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__P-W5-0003.jpg,7,5,0.66646,False,val,train,P-W5-V0013.jpg,P-W5-0003.jpg,373,10,4dc333e14c577d0608783fc0e0f46ecb,f2d0d6e5c9cf70b4f1b3fb4517794d4f,p-w5-v0013,p-w5,48,48
train,val__P-W5-V0013.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__P-W5-V0013.jpg,val,train__P-W5-0014.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__P-W5-0014.jpg,4,5,0.657476,False,val,train,P-W5-V0013.jpg,P-W5-0014.jpg,373,10,4dc333e14c577d0608783fc0e0f46ecb,c39bb28b867a4645d86099bf5abd300a,p-w5-v0013,p-w5,48,51
