split,image_name,image_path,new_split,component_id,old_split,old_rel_image,md5,source_group,instances,phash,dhash,hash_ok,hash_error
train,train__C-W1-0001.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W1-0001.jpg,train,0,train,C-W1-0001.jpg,fad0b551d57e9c2fe8906360eba7d2d3,c-w1,741,10705092712425512412,15684546782067436706,True,
train,train__C-W1-0002.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W1-0002.jpg,train,0,train,C-W1-0002.jpg,41142aa981abb1c2537f66ae8314eaa1,c-w1,616,10772649180707605982,15685662268859624610,True,
train,train__C-W1-0003.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W1-0003.jpg,train,0,train,C-W1-0003.jpg,93973acac87b208393bd80e8b7a9686e,c-w1,175,10896521846997300133,1961384144632868076,True,
train,train__C-W1-0004.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W1-0004.jpg,train,0,train,C-W1-0004.jpg,58376193d2371e151cc5f70251f8be32,c-w1,131,10896526244506940325,1961384144632868076,True,
train,train__C-W1-0005.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W1-0005.jpg,train,0,train,C-W1-0005.jpg,e9f9ad30ca1d7444fb08e802d1eb2331,c-w1,179,10766731100237078284,17363902111405371632,True,
train,train__C-W1-0006.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W1-0006.jpg,train,0,train,C-W1-0006.jpg,cd4650885c706ffd2f4876e0cc437e91,c-w1,179,10896521846865179557,1961384144632605932,True,
train,train__C-W1-0007.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W1-0007.jpg,train,0,train,C-W1-0007.jpg,a3aa83fdd642182efa74e6948be3494a,c-w1,571,16486002604013189807,16466996030278641286,True,
train,train__C-W1-0008.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W1-0008.jpg,train,0,train,C-W1-0008.jpg,1971aeb002ad7de3aae3b8de01a6a7e7,c-w1,329,16485994976151038653,9549466864124864142,True,
train,train__C-W1-0009.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W1-0009.jpg,train,0,train,C-W1-0009.jpg,e490194209904be8c3df5d23f5695024,c-w1,425,16485994971855809215,11855309873877526158,True,
train,train__C-W1-0010.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W1-0010.jpg,train,0,train,C-W1-0010.jpg,297e2c2e2f0acd488168c787a0df40b1,c-w1,221,14112135567957065184,11656338797007979395,True,
train,train__C-W1-0011.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W1-0011.jpg,train,0,train,C-W1-0011.jpg,a08aafa4618f09525d46cf9fbab1bdcf,c-w1,358,16485990578238220991,16466995891765954190,True,
train,train__C-W1-0012.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W1-0012.jpg,train,0,train,C-W1-0012.jpg,258bdc64e2b7477b045001a21fd68c50,c-w1,359,16485997175174023863,16466995891765937806,True,
train,train__C-W1-0013.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W1-0013.jpg,train,0,train,C-W1-0013.jpg,ccc443e6440486ddf418aa3539b0fd20,c-w1,927,10700552966386933726,15973889862007262370,True,
train,train__C-W1-0014.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W1-0014.jpg,train,0,train,C-W1-0014.jpg,a64df65330fc76c6390614a7a232d48c,c-w1,973,10736864887582940638,15684537983994834082,True,
train,train__C-W1-0015.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W1-0015.jpg,train,0,train,C-W1-0015.jpg,b3431f72aaeb7eb5d6d3a80f5d9e4a46,c-w1,956,10772611934814134174,15689057011011421346,True,
