new_split,component_id,old_split,source_image_path,source_label_path,old_rel_image,new_image_name,new_label_name,md5,source_group,instances
train,0,train,D:\Broiler chicken detection dataset\data\images\train\C-W1-0001.jpg,D:\Broiler chicken detection dataset\data\labels\train\C-W1-0001.txt,C-W1-0001.jpg,train__C-W1-0001.jpg,train__C-W1-0001.txt,fad0b551d57e9c2fe8906360eba7d2d3,c-w1,741
train,0,train,D:\Broiler chicken detection dataset\data\images\train\C-W1-0002.jpg,D:\Broiler chicken detection dataset\data\labels\train\C-W1-0002.txt,C-W1-0002.jpg,train__C-W1-0002.jpg,train__C-W1-0002.txt,41142aa981abb1c2537f66ae8314eaa1,c-w1,616
train,0,train,D:\Broiler chicken detection dataset\data\images\train\C-W1-0003.jpg,D:\Broiler chicken detection dataset\data\labels\train\C-W1-0003.txt,C-W1-0003.jpg,train__C-W1-0003.jpg,train__C-W1-0003.txt,93973acac87b208393bd80e8b7a9686e,c-w1,175
train,0,train,D:\Broiler chicken detection dataset\data\images\train\C-W1-0004.jpg,D:\Broiler chicken detection dataset\data\labels\train\C-W1-0004.txt,C-W1-0004.jpg,train__C-W1-0004.jpg,train__C-W1-0004.txt,58376193d2371e151cc5f70251f8be32,c-w1,131
train,0,train,D:\Broiler chicken detection dataset\data\images\train\C-W1-0005.jpg,D:\Broiler chicken detection dataset\data\labels\train\C-W1-0005.txt,C-W1-0005.jpg,train__C-W1-0005.jpg,train__C-W1-0005.txt,e9f9ad30ca1d7444fb08e802d1eb2331,c-w1,179
train,0,train,D:\Broiler chicken detection dataset\data\images\train\C-W1-0006.jpg,D:\Broiler chicken detection dataset\data\labels\train\C-W1-0006.txt,C-W1-0006.jpg,train__C-W1-0006.jpg,train__C-W1-0006.txt,cd4650885c706ffd2f4876e0cc437e91,c-w1,179
train,0,train,D:\Broiler chicken detection dataset\data\images\train\C-W1-0007.jpg,D:\Broiler chicken detection dataset\data\labels\train\C-W1-0007.txt,C-W1-0007.jpg,train__C-W1-0007.jpg,train__C-W1-0007.txt,a3aa83fdd642182efa74e6948be3494a,c-w1,571
train,0,train,D:\Broiler chicken detection dataset\data\images\train\C-W1-0008.jpg,D:\Broiler chicken detection dataset\data\labels\train\C-W1-0008.txt,C-W1-0008.jpg,train__C-W1-0008.jpg,train__C-W1-0008.txt,1971aeb002ad7de3aae3b8de01a6a7e7,c-w1,329
train,0,train,D:\Broiler chicken detection dataset\data\images\train\C-W1-0009.jpg,D:\Broiler chicken detection dataset\data\labels\train\C-W1-0009.txt,C-W1-0009.jpg,train__C-W1-0009.jpg,train__C-W1-0009.txt,e490194209904be8c3df5d23f5695024,c-w1,425
train,0,train,D:\Broiler chicken detection dataset\data\images\train\C-W1-0010.jpg,D:\Broiler chicken detection dataset\data\labels\train\C-W1-0010.txt,C-W1-0010.jpg,train__C-W1-0010.jpg,train__C-W1-0010.txt,297e2c2e2f0acd488168c787a0df40b1,c-w1,221
