resolution_px,density_group,images,gt_total,pred_total,MAE,RMSE,MAPE_percent,bias
800,low,78,7096,8596,19.49,31.55,20.89,19.23
800,medium,76,12300,13649,18.43,22.98,11.4,17.75
800,high,76,17924,19951,27.38,32.31,11.58,26.67
800,ultra_high,77,27292,30295,39.0,46.54,10.88,39.0
960,low,78,7096,8503,18.91,30.01,20.15,18.04
960,medium,76,12300,13462,18.08,22.26,11.21,15.29
960,high,76,17924,19635,23.99,27.66,10.16,22.51
960,ultra_high,77,27292,30159,37.23,45.21,10.09,37.23
1280,low,78,7096,8387,16.73,28.33,18.41,16.55
1280,medium,76,12300,13296,15.53,19.64,9.68,13.11
1280,high,76,17924,19454,21.05,26.06,8.93,20.13
1280,ultra_high,77,27292,29685,31.6,41.73,8.47,31.08
